id,symbol,consolidation_start,consolidation_end,breakout_date,volume_confirmed
1,POWERGRID.NS,2020-08-26,2020-08-27,,
2,POWERGRID.NS,2020-09-02,2020-09-03,,
3,POWERGRID.NS,2020-09-09,2020-09-10,,
4,POWERGRID.NS,2020-09-18,2020-09-21,,
5,POWERGRID.NS,2020-09-24,2020-09-25,,
6,POWERGRID.NS,2020-09-30,2020-10-01,,
7,POWERGRID.NS,2020-10-07,2020-10-08,,
8,POWERGRID.NS,2020-10-14,2020-10-15,,
9,POWERGRID.NS,2020-10-21,2020-10-22,,
10,POWERGRID.NS,2020-10-28,2020-10-29,,
11,POWERGRID.NS,2020-11-04,2020-11-05,,
12,POWERGRID.NS,2020-11-11,2020-11-12,,
13,POWERGRID.NS,2020-11-19,2020-11-20,,
14,POWERGRID.NS,2020-11-25,2020-11-26,,
15,POWERGRID.NS,2020-12-02,2020-12-03,,
16,POWERGRID.NS,2020-12-09,2020-12-10,,
17,POWERGRID.NS,2020-12-16,2020-12-17,,
18,POWERGRID.NS,2020-12-23,2020-12-24,,
19,POWERGRID.NS,2021-01-13,2021-01-14,,
20,POWERGRID.NS,2021-01-20,2021-01-21,,
21,POWERGRID.NS,2021-01-28,2021-01-29,,
22,POWERGRID.NS,2021-02-03,2021-02-04,,
23,POWERGRID.NS,2021-02-10,2021-02-11,,
24,POWERGRID.NS,2021-02-18,2021-02-19,,
25,POWERGRID.NS,2021-03-01,2021-03-02,,
26,POWERGRID.NS,2021-03-03,2021-03-04,,
27,POWERGRID.NS,2021-03-12,2021-03-15,,
28,POWERGRID.NS,2021-03-17,2021-03-18,,
29,POWERGRID.NS,2021-03-25,2021-03-26,,
30,POWERGRID.NS,2021-03-31,2021-04-01,,
31,POWERGRID.NS,2021-04-07,2021-04-08,,
32,POWERGRID.NS,2021-04-15,2021-04-16,,
33,POWERGRID.NS,2021-04-26,2021-04-27,,
34,POWERGRID.NS,2021-04-28,2021-04-29,,
35,POWERGRID.NS,2021-05-05,2021-05-06,,
36,POWERGRID.NS,2021-05-12,2021-05-14,,
37,POWERGRID.NS,2021-05-20,2021-05-21,,
38,POWERGRID.NS,2021-05-26,2021-05-27,,
39,POWERGRID.NS,2021-06-02,2021-06-03,,
40,POWERGRID.NS,2021-06-09,2021-06-10,,
41,POWERGRID.NS,2021-06-16,2021-06-17,,
42,POWERGRID.NS,2021-06-23,2021-06-24,,
43,POWERGRID.NS,2021-06-30,2021-07-01,,
44,POWERGRID.NS,2021-07-07,2021-07-08,,
45,POWERGRID.NS,2021-07-22,2021-07-23,,
46,POWERGRID.NS,2021-08-04,2021-08-05,,
47,POWERGRID.NS,2021-08-12,2021-08-13,,
48,POWERGRID.NS,2021-08-18,2021-08-20,,
49,POWERGRID.NS,2021-08-25,2021-08-26,,
50,POWERGRID.NS,2021-09-01,2021-09-02,,
51,POWERGRID.NS,2021-09-08,2021-09-09,,
52,POWERGRID.NS,2021-09-22,2021-09-23,,
53,POWERGRID.NS,2021-09-30,2021-10-01,,
54,POWERGRID.NS,2021-10-06,2021-10-07,,
55,POWERGRID.NS,2021-10-14,2021-10-18,,
56,POWERGRID.NS,2021-10-20,2021-10-21,,
57,POWERGRID.NS,2021-10-28,2021-10-29,,
58,POWERGRID.NS,2021-11-03,2021-11-04,,
59,POWERGRID.NS,2021-11-10,2021-11-11,,
60,POWERGRID.NS,2021-11-17,2021-11-18,,
61,POWERGRID.NS,2021-11-24,2021-11-25,,
62,POWERGRID.NS,2021-12-06,2021-12-07,,
63,POWERGRID.NS,2021-12-08,2021-12-09,,
64,POWERGRID.NS,2021-12-15,2021-12-16,,
65,POWERGRID.NS,2021-12-23,2021-12-24,,
