id,symbol,added_on,reason
1,POWERGRID.NS,2020-08-25,3% weekly high-low move
2,POWERGRID.NS,2020-09-01,3% weekly high-low move
3,POWERGRID.NS,2020-09-08,3% weekly high-low move
4,POWERGRID.NS,2020-09-15,3% weekly high-low move
5,POWERGRID.NS,2020-09-22,3% weekly high-low move
6,POWERGRID.NS,2020-09-29,3% weekly high-low move
7,POWERGRID.NS,2020-10-06,3% weekly high-low move
8,POWERGRID.NS,2020-10-13,3% weekly high-low move
9,POWERGRID.NS,2020-10-20,3% weekly high-low move
10,POWERGRID.NS,2020-10-27,3% weekly high-low move
11,POWERGRID.NS,2020-11-03,3% weekly high-low move
12,POWERGRID.NS,2020-11-10,3% weekly high-low move
13,POWERGRID.NS,2020-11-17,3% weekly high-low move
14,POWERGRID.NS,2020-11-24,3% weekly high-low move
15,POWERGRID.NS,2020-12-01,3% weekly high-low move
16,POWERGRID.NS,2020-12-08,3% weekly high-low move
17,POWERGRID.NS,2020-12-15,3% weekly high-low move
18,POWERGRID.NS,2020-12-22,3% weekly high-low move
19,POWERGRID.NS,2021-01-12,3% weekly high-low move
20,POWERGRID.NS,2021-01-19,3% weekly high-low move
21,POWERGRID.NS,2021-01-26,3% weekly high-low move
22,POWERGRID.NS,2021-02-02,3% weekly high-low move
23,POWERGRID.NS,2021-02-09,3% weekly high-low move
24,POWERGRID.NS,2021-02-16,3% weekly high-low move
25,POWERGRID.NS,2021-02-23,3% weekly high-low move
26,POWERGRID.NS,2021-03-02,3% weekly high-low move
27,POWERGRID.NS,2021-03-09,3% weekly high-low move
28,POWERGRID.NS,2021-03-16,3% weekly high-low move
29,POWERGRID.NS,2021-03-23,3% weekly high-low move
30,POWERGRID.NS,2021-03-30,3% weekly high-low move
31,POWERGRID.NS,2021-04-06,3% weekly high-low move
32,POWERGRID.NS,2021-04-13,3% weekly high-low move
33,POWERGRID.NS,2021-04-20,3% weekly high-low move
34,POWERGRID.NS,2021-04-27,3% weekly high-low move
35,POWERGRID.NS,2021-05-04,3% weekly high-low move
36,POWERGRID.NS,2021-05-11,3% weekly high-low move
37,POWERGRID.NS,2021-05-18,3% weekly high-low move
38,POWERGRID.NS,2021-05-25,3% weekly high-low move
39,POWERGRID.NS,2021-06-01,3% weekly high-low move
40,POWERGRID.NS,2021-06-08,3% weekly high-low move
41,POWERGRID.NS,2021-06-15,3% weekly high-low move
42,POWERGRID.NS,2021-06-22,3% weekly high-low move
43,POWERGRID.NS,2021-06-29,3% weekly high-low move
